-661,-3576,-3576
-1323,-3313,-3313
-1924,-2929,-2929
-2440,-2438,-2438
-2853,-1857,-1857
-3148,-1208,-1208
-3314,-515,-515
-3345,196,196
-3239,901,901
-3001,1573,1573
-2639,2187,2187
-2167,2721,2721
-1602,3155,3155
-964,3474,3474
-278,3665,3665
432,3722,3722
1140,3642,3642
1820,3429,3429
2447,3090,3090
2998,2638,2638
3453,2089,2089
3795,1463,1463
4011,784,784
4094,76,76
4040,-633,-633
3852,-1321,-1321
3536,-1960,-1960
3105,-2528,-2528
2573,-3002,-3002
1960,-3366,-3366
1290,-3607,-3607
585,-3716,-3716
-126,-3689,-3689
-820,-3526,-3526
-1471,-3234,-3234
-2053,-2823,-2823
-2547,-2309,-2309
-2933,-1710,-1710
-3199,-1049,-1049
-3334,-349,-349
-3332,363,363
-3195,1062,1062
-2927,1723,1723
-2538,2320,2320
-2043,2833,2833
-1459,3241,3241
-807,3531,3531
-113,3690,3690
598,3715,3715
1303,3604,3604
1973,3361,3361
